Pool,8,109,121,100,111,103,92,93,94,124,92,115,102,105,112,100,81,112,120,85,104
Pool,8,97,110,100,98,95,115,95,105,101,90,125,94,75,109,105,117,104,117,97,104
Pool,8,89,101,92,91,111,101,105,94,103,96,111,96,105,103,102,110,110,97,95,88
Pool,8,107,95,95,120,119,99,102,98,105,98,104,91,82,101,82,94,110,114,100,88
Pool,8,111,93,88,108,104,113,122,100,98,107,118,104,103,95,110,97,90,116,98,97
Pool,8,112,82,88,99,107,93,89,113,104,105,70,123,118,97,85,88,84,116,107,83
Pool,8,120,124,105,89,96,96,84,90,93,101,118,89,111,89,94,103,95,106,94,101
Uniform,10,20,,,,,,,,,,,,,,,,,,,
Normal,100,10,,,,,,,,,,,,,,,,,,,
Triangle,10,30,20,,,,,,,,,,,,,,,,,,
